3;keienr;asdasd;M;2005-11-14
4;keienr;asdasd;M;2005-11-14
5;keienr;asdasd;M;2005-11-14
6;keienr;asdasd;M;2005-11-14
7;keienr;asdasd;M;2005-11-14
8;keienr;asdasd;M;2005-11-14
9;keienr;asdasd;M;2005-11-14
10;keienr;asdasd;M;2005-11-14
11;keienr;asdasd;M;2005-11-14
12;keienr;asdasd;M;2005-11-14
13;keienr;asdasd;M;2005-11-14
14;keienr;asdasd;M;2005-11-14
15;keienr;asdasd;M;2005-11-14
16;keienr;asdasd;M;2005-11-14
17;keienr;asdasd;M;2005-11-14
18;keienr;asdasd;M;2005-11-14
19;keienr;asdasd;M;2005-11-14
20;keienr;asdasd;M;2005-11-14
21;keienr;asdasd;M;2005-11-14
22;keienr;asdasd;M;2005-11-14
